Designator,Mid X,Mid Y,Rotation,Layer
C1,183.914375,-163.734375,270.0,bottom
C10,201.376875,-144.684375,270.0,bottom
C2,199.789375,-144.684375,270.0,bottom
C3,187.770625,-161.75,180.0,bottom
C4,182.370625,-163.775,270.0,bottom
C5,178.790625,-153.275,0.0,bottom
C6,187.270625,-152.195,90.0,bottom
C7,188.270625,-160.675,180.0,bottom
C9,205.620625,-142.375,90.0,bottom
D1,84.695625,-83.16875,90.0,bottom
D10,256.145625,-83.16875,90.0,bottom
D11,275.195625,-83.16875,90.0,bottom
D12,294.245625,-83.16875,90.0,bottom
D13,313.295625,-83.16875,90.0,bottom
D14,332.345625,-83.16875,90.0,bottom
D15,89.458125,-102.21875,90.0,bottom
D16,113.270625,-102.21875,90.0,bottom
D17,132.320625,-102.21875,90.0,bottom
D18,151.370625,-102.21875,90.0,bottom
D19,170.420625,-102.21875,90.0,bottom
D2,103.745625,-83.16875,90.0,bottom
D20,189.470625,-102.21875,90.0,bottom
D21,208.520625,-102.21875,90.0,bottom
D22,227.570625,-102.21875,90.0,bottom
D23,246.620625,-102.21875,90.0,bottom
D24,265.670625,-102.21875,90.0,bottom
D25,284.720625,-102.21875,90.0,bottom
D26,303.770625,-102.21875,90.0,bottom
D27,322.820625,-102.21875,90.0,bottom
D28,346.633125,-102.21875,90.0,bottom
D29,91.839375,-121.26875,90.0,bottom
D3,122.795625,-83.16875,90.0,bottom
D30,118.033125,-121.26875,90.0,bottom
D31,137.083125,-121.26875,90.0,bottom
D32,156.133125,-121.26875,90.0,bottom
D33,175.183125,-121.26875,90.0,bottom
D34,194.233125,-121.26875,90.0,bottom
D35,213.283125,-121.26875,90.0,bottom
D36,232.333125,-121.26875,90.0,bottom
D37,251.383125,-121.26875,90.0,bottom
D38,270.433125,-121.26875,90.0,bottom
D39,289.483125,-121.26875,90.0,bottom
D4,141.845625,-83.16875,90.0,bottom
D40,308.533125,-121.26875,90.0,bottom
D41,339.489375,-121.26875,90.0,bottom
D42,96.601875,-140.31875,90.0,bottom
D43,127.558125,-140.31875,90.0,bottom
D44,146.608125,-140.31875,90.0,bottom
D45,165.658125,-140.31875,90.0,bottom
D46,184.708125,-140.31875,90.0,bottom
D47,203.758125,-140.31875,90.0,bottom
D48,222.808125,-140.31875,90.0,bottom
D49,241.858125,-140.31875,90.0,bottom
D5,160.895625,-83.16875,90.0,bottom
D50,260.908125,-140.31875,90.0,bottom
D51,279.958125,-140.31875,90.0,bottom
D52,299.008125,-140.31875,90.0,bottom
D53,325.201875,-140.31875,90.0,bottom
D54,351.395625,-140.31875,90.0,bottom
D55,113.270625,-159.36875,90.0,bottom
D56,137.083125,-159.36875,90.0,bottom
D57,218.045625,-159.36875,90.0,bottom
D58,299.008125,-159.36875,90.0,bottom
D59,322.820625,-159.36875,90.0,bottom
D6,179.945625,-83.16875,90.0,bottom
D60,352.983125,-88.328125,90.0,bottom
D7,198.995625,-83.16875,90.0,bottom
D8,218.045625,-83.16875,90.0,bottom
D9,237.095625,-83.16875,90.0,bottom
J1,210.108125,-144.2875,180.0,bottom
MX1,81.520625,-82.375,0.0,bottom
MX10,252.970625,-82.375,0.0,bottom
MX11,272.020625,-82.375,0.0,bottom
MX12,291.070625,-82.375,0.0,bottom
MX13,310.120625,-82.375,0.0,bottom
MX14,329.170625,-82.375,0.0,bottom
MX15,86.283125,-101.425,0.0,bottom
MX16,110.095625,-101.425,0.0,bottom
MX17,129.145625,-101.425,0.0,bottom
MX18,148.195625,-101.425,0.0,bottom
MX19,167.245625,-101.425,0.0,bottom
MX2,100.570625,-82.375,0.0,bottom
MX20,186.295625,-101.425,0.0,bottom
MX21,205.345625,-101.425,0.0,bottom
MX22,224.395625,-101.425,0.0,bottom
MX23,243.445625,-101.425,0.0,bottom
MX24,262.495625,-101.425,0.0,bottom
MX25,281.545625,-101.425,0.0,bottom
MX26,300.595625,-101.425,0.0,bottom
MX27,319.645625,-101.425,0.0,bottom
MX28,343.458125,-101.425,0.0,bottom
MX29,88.664375,-120.475,0.0,bottom
MX3,119.620625,-82.375,0.0,bottom
MX30,114.858125,-120.475,0.0,bottom
MX31,133.908125,-120.475,0.0,bottom
MX32,152.958125,-120.475,0.0,bottom
MX33,172.008125,-120.475,0.0,bottom
MX34,191.058125,-120.475,0.0,bottom
MX35,210.108125,-120.475,0.0,bottom
MX36,229.158125,-120.475,0.0,bottom
MX37,248.208125,-120.475,0.0,bottom
MX38,267.258125,-120.475,0.0,bottom
MX39,286.308125,-120.475,0.0,bottom
MX4,138.670625,-82.375,0.0,bottom
MX40,305.358125,-120.475,0.0,bottom
MX41,336.314375,-120.475,0.0,bottom
MX42,93.426875,-139.525,0.0,bottom
MX43,124.383125,-139.525,0.0,bottom
MX44,143.433125,-139.525,0.0,bottom
MX45,162.483125,-139.525,0.0,bottom
MX46,181.533125,-139.525,0.0,bottom
MX47,200.583125,-139.525,0.0,bottom
MX48,219.633125,-139.525,0.0,bottom
MX49,238.683125,-139.525,0.0,bottom
MX5,157.720625,-82.375,0.0,bottom
MX50,257.733125,-139.525,0.0,bottom
MX51,276.783125,-139.525,0.0,bottom
MX52,295.833125,-139.525,0.0,bottom
MX53,322.026875,-139.525,0.0,bottom
MX54,348.220625,-139.525,0.0,bottom
MX55,110.095625,-158.575,0.0,bottom
MX56,133.908125,-158.575,0.0,bottom
MX57,214.870625,-158.575,0.0,bottom
MX58,295.833125,-158.575,0.0,bottom
MX59,319.645625,-158.575,0.0,bottom
MX6,176.770625,-82.375,0.0,bottom
MX7,195.820625,-82.375,0.0,bottom
MX8,214.870625,-82.375,0.0,bottom
MX9,233.920625,-82.375,0.0,bottom
R3,193.343773,-159.785569,180.0,bottom
R4,195.42375,-159.765625,180.0,bottom
SW1,347.970625,-82.375,270.0,top
U1,183.5175,-156.9875,90.0,bottom
U3,204.155,-145.08125,0.0,bottom
